power,Qi_dia_corr,Qi_no_corr,absQc,Qc_dia_corr,Ql,fr,theta0,phi0,phi0_err,Ql_err,absQc_err,fr_err,chi_square,Qi_no_corr_err,Qi_dia_corr_err,delay,photons_num
-60.0,98955520595806.36,174206449434859.47,141911265239384.34,372936430353593.06,78204594379145.66,371380663158.0235,-1.6570024058413215,1.1804334608498417,2.6886590199584776e+19,3.249872070690646e+47,4.46231775504422e+31,9.762779906549944e+30,0.1176943902976207,1.6126131190000327e+48,5.2033349797581325e+47,4.021290645206993e-08,36125.61463662073
-57.5,4035462607461797.0,5904847679863093.0,9454524205825654.0,3.660485194790323e+16,3634753148531870.0,4335238497.366758,2.007622044881567,-1.3095486505395941,1821431439592108.8,6.0538669667606684e+44,2.61349852855304e+31,1.4885091493501035e+23,0.06339560622646158,1.5977191056756317e+45,7.462248120717766e+44,7.57011257522108e-09,10375506158.887272
-55.0,78938.60258165281,81455.71576418256,181778.2991419528,195704.56692475424,56249.8789234489,4389771707.844973,2.762066669903406,-0.37952598368638707,0.061475671506055304,4898.942746691256,13128.309923530122,3520.809348226521,0.013299420077991581,8290.67221050879,7930.958746516273,5.386895276479936e-08,0.8060879829904816
-52.5,50984.9986905298,52054.35695530085,136471.52080939035,144412.4321179048,37681.49679330262,4389775938.574549,2.8084284574259484,-0.3331641961638447,0.04647730912572572,2488.5356620183697,7253.6203480889935,3521.367700458344,0.007373106211643987,3928.7991255221496,3813.3382801657317,8.665337914117629e-08,0.8717482719486856
-50.0,82137.10021163677,85359.86995423137,270283.77484007785,308627.1431201154,64872.206234505924,4389777418.280967,2.6378073676981213,-0.5037852858916716,0.04928927876759361,4582.422346944322,15095.881994708669,2347.307559633761,0.004540444807345456,6805.5354557722885,6456.555399362062,4.491674556792366e-08,2.149920054312517
-47.5,85340.89666738432,88158.45949072715,271754.8452502893,302545.6171190942,66564.60931236092,4389775785.896328,2.686544237560104,-0.45507589702819357,0.03664771681131728,3247.3861284020695,10204.828428788853,1643.2763066893965,0.0023246916186603515,4949.577504585575,4752.878836878503,4.1904388224052246e-08,4.106154867887598
-45.0,75770.34164292498,77379.6902561891,209713.79048752948,222523.10843685849,56523.70826512199,4389767996.44869,2.8006341274264788,-0.3409542383624642,0.025004852444394234,1906.4499925736147,5267.984734346727,1252.1719268398595,0.0014393623008662234,3054.939879551576,2974.781058586444,9.092012022501729e-08,7.15858410942836
-42.5,120426.60145992029,126803.8414269156,276882.22750773525,313084.38058064954,86972.85532661181,4389771329.724636,2.6559408260641906,-0.48565510993904804,0.02341953463703891,2801.6834927702357,6056.233484174732,747.3280651096801,0.0011615043643146852,5192.7100415448695,4757.055846627451,4.770811628683049e-08,21.421326112504623
-40.0,146111.56582225513,154993.11009372817,277224.5808504773,311042.15795712685,99412.63599502305,4389777012.975174,2.670948881861422,-0.4706437717283709,0.02453188177537332,3508.22487433788,7182.641910433782,720.661268884201,0.001656054006647829,6930.77914902945,6391.826118798727,6.464909587689493e-08,50.096005317735994
-37.5,228892.1755235085,254539.32320805633,277438.2109219497,316035.35649998725,132747.9637944053,4389772772.574888,2.6421965626913324,-0.4993984552759742,0.023817554523402704,4051.36444165872,4743.638012279863,477.63959224537456,0.0014342817676597053,13397.303672560487,11202.993544918298,3.866033057366156e-08,156.3363891265703
-35.0,277511.2641499517,310701.62795801245,245440.78327495727,271049.19986003014,137121.08515830108,4389767914.353289,2.7033960143979243,-0.4381899547320348,0.018702006482071848,3540.8096955972087,3239.432728799435,329.74173286565747,0.0011110352682807047,15398.059973682786,12715.719107452087,6.179237380716097e-08,345.86078859338124
-32.5,372456.2579576254,432590.2692448829,262761.3354621573,291331.8148679536,163468.37497068738,4389769818.221462,2.6950174376615963,-0.4465752159281967,0.023697288456702964,5404.531649060121,4518.547044375257,356.3467278946457,0.0019189080683136885,31443.507245585566,23644.69058327544,5.403789872520782e-08,813.2426999501271
-30.0,590504.2739466856,769640.384183181,264874.44746783614,295751.772274054,197056.69292735922,4389775816.523615,2.6805680591802052,-0.4610245944095879,0.024457387767275286,6145.808934873236,3368.281171090861,287.5001505753247,0.0014804733660793682,83451.93933719315,53192.39098973747,5.945379380837369e-08,2070.11482036572
