A_TLS,const,nc,A_TLS_err,const_err,nc_err,measurement_label
8.542888344631223e-06,2.76802851914039e-07,0.7483159851087915,1.0027453754028606e-06,5.4223247879117015e-09,0.20142447463974045,C438977
5.133275283896186e-06,2.9116822307634646e-07,2.423248095868793,4.83034732591621e-07,4.744984108560727e-09,0.5811072680506848,C446238
2.950345338495611e-06,3.368826854958557e-07,2.261324606187202,3.4744091260565896e-07,6.906960899826423e-10,0.619558491273304,C481325
3.005685197099114e-06,2.1161981453338107e-07,18.485829379982217,4.514399880629639e-07,4.743264033170067e-09,7.1005946526207016,C489782
1.3026153189255782e-06,1.9374789974807848e-07,23.864872260337513,9.514607797310158e-08,1.5389388206149457e-09,4.579177718984241,C510546
1.3950275483873875e-06,1.893286593552994e-07,7.201783414251041,1.1152831161867561e-07,1.1543267376438642e-09,1.4915819151276284,C519099
8.574177028626847e-07,6.312702645873629e-07,17.604855981791953,1.6661426642463252e-07,4.642469178152081e-10,8.191284913309238,C535973
2.2428926198026268e-07,2.3482019022722565e-07,999.9999999999964,9.995422714349258e-08,1.3684811645553686e-09,1029.7592441065522,C544795
7.657833982485116e-05,6.119501125609942e-06,1.8840997109949355e-05,1.0761517855431668,6.357626931795356e-09,0.5296588697733366,C568779
2.534920412958964e-07,1.1819163068933215e-06,206.55189457649848,2.05728077630988e-08,3.4103340647535244e-10,37.370631997161894,C576431
7.785912929084611e-08,1.2963284940128012e-05,999.9999999999999,1.9339813597625512e-08,6.052819669232712e-09,947.502195823584,C576665
3.8920089569587397e-07,4.648577768311898e-05,76.89494729685806,9.50564366293304e-08,9.092173698071826e-08,95.70966982691034,C584854
